id,title,description,longDescription,category,price,duration,difficulty,maxGroupSize,highlights,included,image,isActive,isFeatured,villaId,createdAt,updatedAt
villa-accommodation,"Stylish, Fully Furnished Villa","Luxurious living space with kitchen-free concept, giving you more room to relax and enjoy your holiday.","Our villa is thoughtfully designed to provide a luxurious living space without a traditional kitchen, giving you more room to relax and enjoy your holiday. With cozy living areas, comfortable bedrooms, and a private pool, this villa is ideal for guests who prefer to dine out, order in, or use our catering services.",INCLUDED,0.00,"Your entire stay",,10,"Private pool|Luxurious interiors|Spacious living areas|Premium bedding","Daily housekeeping|Pool maintenance|Welcome amenities|Premium linens",/images/services/villa-accommodation.jpg,true,true,tranquilo-hurghada,2023-09-01T10:00:00Z,2023-09-01T10:00:00Z
gourmet-delivery,"Gourmet Meal Delivery & Private Chef","Partnered with the best local restaurants and catering experts to bring delicious meals directly to your villa.","Since there's no kitchen, we've partnered with the best local restaurants and catering experts to bring delicious meals directly to your villa. Whether you want traditional Egyptian dishes, fresh seafood, or international cuisine, we'll arrange everything so you can enjoy a feast without lifting a finger.",INCLUDED,0.00,"Available daily",,8,"Traditional Egyptian cuisine|Fresh seafood|International dishes|Private chef service","Menu consultation|Ingredient sourcing|Meal preparation|Service and cleanup",/images/services/private-chef.jpg,true,true,tranquilo-hurghada,2023-09-01T10:00:00Z,2023-09-01T10:00:00Z
airport-transfer,"Free Airport Pickup & Drop-off","Free airport transfer services with professional, friendly drivers to welcome you upon arrival.","We offer free airport transfer services to welcome you upon arrival and ensure a smooth journey back. Relax knowing your transportation needs are covered by professional, friendly drivers.",INCLUDED,0.00,"1 hour each way",,12,"Professional drivers|Comfortable vehicles|Meet & greet service|Luggage assistance","Airport pickup|Airport drop-off|Vehicle and fuel|Driver service",/images/services/airport-transfer.jpg,true,false,tranquilo-hurghada,2023-09-01T10:00:00Z,2023-09-01T10:00:00Z
concierge-service,"Personalized Concierge Assistance","Around the clock concierge team to help you book tours, activities, and craft the perfect itinerary.","Our concierge team is available around the clock to help you book tours, water sports, diving trips, desert safaris, and much more. Let us craft the perfect itinerary so you can explore Hurghada effortlessly.",INCLUDED,0.00,"24/7 availability",,12,"24/7 availability|Local expertise|Activity booking|Itinerary planning","Tour booking|Restaurant reservations|Transportation arrangements|Local recommendations",/images/services/concierge.jpg,true,false,tranquilo-hurghada,2023-09-01T10:00:00Z,2023-09-01T10:00:00Z
housekeeping,"Daily Housekeeping & Pool Maintenance","Enjoy a pristine environment with daily housekeeping and regular pool maintenance services.","Enjoy a pristine environment without any chores. Our housekeeping team will keep the villa clean and comfortable daily, while regular pool maintenance ensures your private oasis stays sparkling.",INCLUDED,0.00,"Daily service",,12,"Daily cleaning|Fresh linens|Pool maintenance|Restocking amenities","Room cleaning|Bathroom maintenance|Pool cleaning|Towel service",/images/services/housekeeping.jpg,true,false,tranquilo-hurghada,2023-09-01T10:00:00Z,2023-09-01T10:00:00Z
security-support,"24/7 Security & Support","Your safety is paramount with secured and monitored villa and dedicated support team.","Your safety is paramount. Our villa is secured and monitored, with a dedicated support team ready to assist you at any time.",INCLUDED,0.00,"24/7 monitoring",,12,"24/7 security|Emergency support|Safe environment|Peace of mind","Security monitoring|Emergency response|Property protection|Guest safety",/images/services/security.jpg,true,false,cme1mzesx0000cvr4tc85n5nx,2023-09-01T10:00:00Z,2023-09-01T10:00:00Z
diving,"Red Sea Diving Experience","Explore the vibrant coral reefs of the Red Sea with certified instructors and equipment included.","Explore the vibrant coral reefs of the Red Sea with certified instructors. Equipment and boat transport included. Discover the underwater paradise that makes the Red Sea one of the world's top diving destinations.",ADVENTURE,65.00,"Half day (4-5 hours)",EASY,8,"Vibrant coral reefs|Certified instructors|Equipment included|Boat transport","Diving equipment|Boat transportation|Professional guide|Safety briefing",/images/services/diving.jpg,true,true,tranquilo-hurghada,2023-09-01T10:00:00Z,2023-09-01T10:00:00Z
skydiving,"Red Sea Skydiving","Tandem skydiving over the Red Sea with breathtaking aerial views and professional instructors.","Tandem skydiving over the Red Sea with breathtaking aerial views. Professional instructors and safety equipment provided. Experience the ultimate adrenaline rush while taking in panoramic views of the Egyptian coastline.",ADVENTURE,280.00,"Half day (3-4 hours)",MODERATE,4,"Breathtaking aerial views|Professional instructors|Safety equipment|Tandem jump","Safety equipment|Professional instructor|Training session|Certificate",/images/services/skydiving.jpg,true,true,tranquilo-hurghada,2023-09-01T10:00:00Z,2023-09-01T10:00:00Z
quad-biking,"Desert Quad Biking Adventure","Desert adventure tours on ATVs through sand dunes and scenic landscapes with safety gear included.","Desert adventure tours on ATVs through sand dunes and scenic landscapes. Safety gear and guides included. Experience the thrill of riding through the Egyptian desert while enjoying stunning sunset views.",ADVENTURE,45.00,"3-4 hours",EASY,10,"Sand dune exploration|Scenic landscapes|Safety gear included|Professional guides","ATV rental|Safety equipment|Professional guide|Desert tour",/images/services/quad-biking.jpg,true,true,tranquilo-hurghada,2023-09-01T10:00:00Z,2023-09-01T10:00:00Z
boat-tours,"Private Boat Tours","Private or group boat excursions including snorkeling, fishing, and island hopping in the Red Sea.","Private or group boat excursions including snorkeling, fishing, and island hopping in the Red Sea. Explore pristine islands, enjoy crystal-clear waters, and discover the marine life of this incredible destination.",ADVENTURE,120.00,"Full day (6-8 hours)",EASY,12,"Island hopping|Snorkeling|Fishing|Red Sea exploration","Boat charter|Snorkeling equipment|Lunch onboard|Professional crew",/images/services/boat-tours.jpg,true,true,tranquilo-hurghada,2023-09-01T10:00:00Z,2023-09-01T10:00:00Z
equestrianism,"Beach & Desert Horse Riding","Horse riding experiences along the beach or desert trails, suitable for all skill levels.","Horse riding experiences along the beach or desert trails. Suitable for all skill levels with professional guides. Enjoy the unique experience of riding along pristine beaches or through ancient desert landscapes.",ADVENTURE,55.00,"1-2 hours",EASY,6,"Beach riding|Desert trails|All skill levels|Professional guides","Horse rental|Safety equipment|Professional guide|Route planning",/images/services/horse-riding.jpg,true,false,tranquilo-hurghada,2023-09-01T10:00:00Z,2023-09-01T10:00:00Z
wellness-relaxation,"Wellness & Relaxation Services","Unwind with in-villa massages, yoga classes, or personal training sessions arranged at your convenience.","Unwind with optional wellness services such as in-villa massages, yoga classes, or personal training sessions â€” all arranged at your convenience for a truly relaxing holiday.",WELLNESS,80.00,"1-2 hours",EASY,4,"In-villa service|Professional therapists|Yoga classes|Personal training","Professional therapist|Equipment provided|Customized sessions|Relaxation environment",/images/services/wellness.jpg,true,true,tranquilo-hurghada,2023-09-01T10:00:00Z,2023-09-01T10:00:00Z
hamam-spa,"Traditional Hamam & Spa","Traditional Turkish bath and spa treatments with relaxing massages and wellness services.","Traditional Turkish bath and spa treatments. Relaxing massages and wellness services at your villa or spa location. Experience authentic Middle Eastern wellness traditions in a luxurious setting.",WELLNESS,95.00,"2-3 hours",EASY,2,"Turkish bath|Traditional treatments|Relaxing massages|Authentic experience","Hamam session|Body scrub|Massage treatment|Refreshments",/images/services/hamam.jpg,true,true,tranquilo-hurghada,2023-09-01T10:00:00Z,2023-09-01T10:00:00Z
cultural-excursions,"Historic Egypt Cultural Tours","Guided tours to Luxor, Cairo, Alexandria and other historic Egyptian cities with transport included.","Guided tours to Luxor, Cairo, Alexandria and other historic Egyptian cities. Transportation and entrance fees included. Explore ancient temples, pyramids, and museums with expert local guides.",CULTURAL,180.00,"Full day (8-12 hours)",EASY,15,"Historic cities|Expert guides|Transportation included|Entrance fees covered","Transportation|Professional guide|Entrance fees|Lunch",/images/services/cultural-tours.jpg,true,true,tranquilo-hurghada,2023-09-01T10:00:00Z,2023-09-01T10:00:00Z
car-rental,"Premium Car Rental","Self-drive vehicle rental with full insurance. Various car types from economy to luxury available.","Self-drive vehicle rental with full insurance. Various car types available from economy to luxury. Explore the region at your own pace with reliable, well-maintained vehicles.",TRANSPORT,35.00,"Flexible rental period",,7,"Full insurance|Various car types|Well-maintained vehicles|Flexible rental","Vehicle rental|Full insurance|GPS navigation|24/7 support",/images/services/car-rental.jpg,true,false,tranquilo-hurghada,2023-09-01T10:00:00Z,2023-09-01T10:00:00Z
custom-requests,"Custom Experience Design","Special arrangements and personalized experiences tailored to your preferences and unique desires.","Special arrangements and personalized experiences tailored to your preferences. Birthday celebrations, traditional Gnawa music parties, romantic dinners, and any unique experience you desire. Let us make your wishes come true!",CUSTOM,0.00,"Varies by request",,20,"Personalized experiences|Birthday celebrations|Romantic dinners|Cultural events","Custom planning|Professional coordination|Unique arrangements|Personal touch",/images/services/custom-experiences.jpg,true,true,tranquilo-hurghada,2023-09-01T10:00:00Z,2023-09-01T10:00:00Z